Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000012,2.893826007843018,0.000208,49.80350652118727,0.000198,47.5,0.000418
0.000024,2.893826007843018,0.000412,49.044656957967426,0.000396,47.5,0.000832
0.000036,2.893826007843018,0.000618,49.47403627735548,0.000594,47.5,0.001249
0.000048,2.893826007843018,0.000825,49.514693392780444,0.000792,47.5,0.001665
0.000060,2.893826007843018,0.001030,49.15054635570027,0.000990,47.5,0.002080
0.000072,2.893826007843018,0.001235,49.18819150393442,0.001188,47.5,0.002495
0.000084,2.893826007843018,0.001439,49.016280688503535,0.001386,47.5,0.002910
0.000097,2.893826007843018,0.001645,49.43268089323276,0.001584,47.5,0.003326
0.000109,2.893826007843018,0.001853,49.78832570813078,0.001782,47.5,0.003744
0.000121,2.893826007843018,0.002061,49.86264562926964,0.001980,47.5,0.004162
0.000133,2.893826007843018,0.002267,49.562924681810685,0.002179,47.5,0.004579
0.000145,2.893826007843018,0.002476,50.06287057181169,0.002376,47.5,0.004997
0.000157,2.893826007843018,0.002685,50.17214912096954,0.002574,47.5,0.005416
0.000169,2.893826007843018,0.002896,50.564023128510286,0.002772,47.5,0.005837
0.000181,2.893826007843018,0.003106,50.43527537246654,0.002971,47.5,0.006258
0.000193,2.893826007843018,0.003316,50.32641439683023,0.003169,47.5,0.006678
0.000205,2.893826007843018,0.003527,50.56563496936428,0.003367,47.5,0.007099
0.000217,2.893826007843018,0.003739,50.94600768508277,0.003565,47.5,0.007521
0.000229,2.893826007843018,0.003948,49.96595480220074,0.003763,47.5,0.007940
0.000241,2.893826007843018,0.004159,50.7671399862804,0.003961,47.5,0.008361
0.000253,2.893826007843018,0.004368,49.98137600651664,0.004159,47.5,0.008780
0.000265,2.893826007843018,0.004579,50.61821985135529,0.004357,47.5,0.009201
0.000277,2.893826007843018,0.004788,50.15846253551599,0.004555,47.5,0.009620
0.000290,2.893826007843018,0.004996,50.01825559549114,0.004753,47.5,0.010038
0.000302,2.893826007843018,0.005206,50.322172003423454,0.004951,47.5,0.010458
0.000314,2.893826007843018,0.005416,50.53664900792663,0.005149,47.5,0.010879
0.000326,2.893826007843018,0.005629,50.876230150430914,0.005347,47.5,0.011301
0.000338,2.893826007843018,0.005838,50.271224923556176,0.005545,47.5,0.011721
0.000350,2.893826007843018,0.006048,50.38107662055975,0.005743,47.5,0.012141
0.000362,2.893826007843018,0.006256,49.814595696321135,0.005941,47.5,0.012558
0.000374,2.893826007843018,0.006465,50.06534797224978,0.006139,47.5,0.012977
0.000386,2.893826007843018,0.006671,49.43093000377167,0.006337,47.5,0.013394
0.000398,2.893826007843018,0.006880,50.211080954554696,0.006535,47.5,0.013813
0.000410,2.893826007843018,0.007089,50.17148048663565,0.006733,47.5,0.014233
0.000422,2.893826007843018,0.007297,49.965978352891426,0.006931,47.5,0.014651
0.000434,2.893826007843018,0.007507,50.325855546648576,0.007129,47.5,0.015071
0.000446,2.893826007843018,0.007715,49.9463468634526,0.007327,47.5,0.015489
0.000458,2.893826007843018,0.007924,50.174566376659556,0.007525,47.5,0.015908
0.000470,2.893826007843018,0.008129,49.1653512589865,0.007723,47.5,0.016323
0.000483,2.893826007843018,0.008339,50.15850646952791,0.007921,47.5,0.016742
0.000495,2.893826007843018,0.008550,50.6196540165642,0.008119,47.5,0.017164
0.000507,2.893826007843018,0.008756,49.370057940327214,0.008318,47.5,0.017580
0.000519,2.893826007843018,0.008964,49.96572307560815,0.008516,47.5,0.017998
0.000531,2.893826007843018,0.009173,50.06394902885554,0.008714,47.5,0.018417
0.000543,2.893826007843018,0.009381,49.96766819416872,0.008912,47.5,0.018836
0.000555,2.893826007843018,0.009591,50.34836360122433,0.009110,47.5,0.019255
0.000567,2.893826007843018,0.009800,50.10521039474172,0.009308,47.5,0.019674
0.000579,2.893826007843018,0.010010,50.535870232444694,0.009506,47.5,0.020095
0.000591,2.893826007843018,0.010219,50.111949131195495,0.009704,47.5,0.020514
0.000603,2.893826007843018,0.010430,50.68669704971788,0.009902,47.5,0.020935
0.000615,2.893826007843018,0.010638,49.88592369973926,0.010100,47.5,0.021353
0.000627,2.893826007843018,0.010849,50.597250022227804,0.010298,47.5,0.021775
0.000639,2.893826007843018,0.011057,49.92766528784299,0.010496,47.5,0.022193
0.000651,2.893826007843018,0.011268,50.635526755882694,0.010694,47.5,0.022614
0.000663,2.893826007843018,0.011477,49.948605923173545,0.010892,47.5,0.023032
0.000676,2.893826007843018,0.011686,50.11712160409827,0.011090,47.5,0.023451
0.000688,2.893826007843018,0.011894,50.072764366469556,0.011288,47.5,0.023870
0.000700,2.893826007843018,0.012101,49.6950198427378,0.011486,47.5,0.024287
0.000712,2.893826007843018,0.012312,50.44943077562822,0.011684,47.5,0.024707
0.000724,2.893826007843018,0.012520,49.946849017933154,0.011882,47.5,0.025126
0.000736,2.893826007843018,0.012727,49.70500346171456,0.012080,47.5,0.025543
0.000748,2.893826007843018,0.012935,49.903204448055384,0.012278,47.5,0.025961
0.000760,2.893826007843018,0.013143,49.85303260349484,0.012476,47.5,0.026379
0.000772,2.893826007843018,0.013349,49.452716514049506,0.012674,47.5,0.026795
0.000784,2.893826007843018,0.013556,49.60005152234989,0.012872,47.5,0.027212
0.000796,2.893826007843018,0.013763,49.60438339699848,0.013070,47.5,0.027629
0.000808,2.893826007843018,0.013970,49.7091695805084,0.013268,47.5,0.028047
0.000820,2.893826007843018,0.014179,50.102638947539575,0.013466,47.5,0.028466
0.000832,2.893826007843018,0.014388,50.08434530197892,0.013664,47.5,0.028885
0.000844,2.893826007843018,0.014598,50.52571308207632,0.013862,47.5,0.029305
0.000857,2.893826007843018,0.014809,50.45104907576494,0.014060,47.5,0.029725
0.000869,2.893826007843018,0.015020,50.60653426914567,0.014258,47.5,0.030147
0.000881,2.893826007843018,0.015229,50.29349950086913,0.014456,47.5,0.030566
0.000893,2.893826007843018,0.015440,50.47990231020205,0.014654,47.5,0.030987
0.000905,2.893826007843018,0.015652,50.89858627226956,0.014852,47.5,0.031409
0.000917,2.893826007843018,0.015865,51.09364117198367,0.015050,47.5,0.031832
0.000929,2.893826007843018,0.016078,51.23014537895825,0.015248,47.5,0.032256
0.000941,2.893826007843018,0.016291,50.98081781742614,0.015446,47.5,0.032678
0.000953,2.893826007843018,0.016502,50.71880926852583,0.015644,47.5,0.033100
0.000965,2.893826007843018,0.016716,51.38478478373427,0.015842,47.5,0.033524
0.000977,2.893826007843018,0.016928,50.73208611231665,0.016041,47.5,0.033946
0.000989,2.893826007843018,0.017139,50.606108909563915,0.016239,47.5,0.034367
0.001001,2.893826007843018,0.017349,50.40579120341279,0.016437,47.5,0.034787
0.001013,2.893826007843018,0.017558,50.188830508547305,0.016635,47.5,0.035206
0.001025,2.893826007843018,0.017768,50.213510214160706,0.016832,47.5,0.035625
0.001037,2.893826007843018,0.017976,50.09825822033317,0.017031,47.5,0.036045
0.001050,2.893826007843018,0.018189,50.952584217438925,0.017229,47.5,0.036467
0.001062,2.893826007843018,0.018397,49.95282076694433,0.017427,47.5,0.036886
0.001074,2.893826007843018,0.018608,50.525338521765846,0.017625,47.5,0.037306
0.001086,2.893826007843018,0.018816,49.96463720532139,0.017823,47.5,0.037724
0.001098,2.893826007843018,0.019025,50.17027028909377,0.018021,47.5,0.038144
0.001110,2.893826007843018,0.019237,50.73877290784076,0.018219,47.5,0.038565
0.001122,2.893826007843018,0.019447,50.58397205003147,0.018417,47.5,0.038986
0.001134,2.893826007843018,0.019660,50.858100040732474,0.018615,47.5,0.039408
0.001146,2.893826007843018,0.019869,50.14908095115955,0.018813,47.5,0.039828
0.001158,2.893826007843018,0.020080,50.812822040703836,0.019011,47.5,0.040249
0.001170,2.893826007843018,0.020294,51.07359769404037,0.019209,47.5,0.040673
0.001182,2.893826007843018,0.020506,51.06072953134187,0.019407,47.5,0.041096
0.001194,2.893826007843018,0.020720,51.21600784868666,0.019605,47.5,0.041519
0.001206,2.893826007843018,0.020931,50.67548148297456,0.019803,47.5,0.041941
0.001218,2.893826007843018,0.021143,50.93295337953224,0.020001,47.5,0.042363
0.001230,2.893826007843018,0.021354,50.53795680526734,0.020199,47.5,0.042784
0.001243,2.893826007843018,0.021564,50.343931046702956,0.020397,47.5,0.043204
0.001255,2.893826007843018,0.021773,50.18625704681988,0.020595,47.5,0.043623
0.001267,2.893826007843018,0.021982,50.129145742706655,0.020794,47.5,0.044043
0.001279,2.893826007843018,0.022193,50.45735173997261,0.020992,47.5,0.044463
0.001291,2.893826007843018,0.022401,50.06473924587554,0.021190,47.5,0.044882
0.001303,2.893826007843018,0.022613,50.85633023791689,0.021388,47.5,0.045304
0.001315,2.893826007843018,0.022825,50.86093474601053,0.021585,47.5,0.045726
0.001327,2.893826007843018,0.023036,50.49907020629375,0.021784,47.5,0.046146
0.001339,2.893826007843018,0.023248,50.98339723379199,0.021982,47.5,0.046569
0.001351,2.893826007843018,0.023456,49.718584932339816,0.022180,47.5,0.046986
0.001363,2.893826007843018,0.023666,50.436892223156676,0.022378,47.5,0.047407
0.001375,2.893826007843018,0.023877,50.57070341841126,0.022576,47.5,0.047828
0.001387,2.893826007843018,0.024087,50.39180825069955,0.022774,47.5,0.048248
0.001399,2.893826007843018,0.024296,50.17220492041066,0.022972,47.5,0.048667
0.001411,2.893826007843018,0.024507,50.647942225582995,0.023170,47.5,0.049088
0.001423,2.893826007843018,0.024720,51.17376944869847,0.023368,47.5,0.049511
0.001436,2.893826007843018,0.024929,50.1481808007056,0.023566,47.5,0.049931
0.001448,2.893826007843018,0.025141,50.817310269804885,0.023764,47.5,0.050353
0.001460,2.893826007843018,0.025353,50.90297702100301,0.023962,47.5,0.050775
0.001472,2.893826007843018,0.025564,50.39082587193079,0.024160,47.5,0.051195
0.001484,2.893826007843018,0.025774,50.546962083537025,0.024358,47.5,0.051616
0.001496,2.893826007843018,0.025984,50.44503873969466,0.024556,47.5,0.052036
0.001508,2.893826007843018,0.026197,51.078427772211825,0.024754,47.5,0.052459
0.001520,2.893826007843018,0.026409,50.700683363219575,0.024952,47.5,0.052881
0.001532,2.893826007843018,0.026622,51.08711817284268,0.025150,47.5,0.053304
0.001544,2.893826007843018,0.026834,51.021608816370936,0.025348,47.5,0.053726
0.001556,2.893826007843018,0.027045,50.60036102405633,0.025546,47.5,0.054147
0.001568,2.893826007843018,0.027258,51.01254792466873,0.025744,47.5,0.054570
0.001580,2.893826007843018,0.027470,50.78585409582433,0.025942,47.5,0.054992
0.001592,2.893826007843018,0.027681,50.695459108966745,0.026140,47.5,0.055414
0.001604,2.893826007843018,0.027892,50.70003542880821,0.026338,47.5,0.055835
0.001616,2.893826007843018,0.028106,51.31404806157097,0.026536,47.5,0.056259
0.001629,2.893826007843018,0.028318,50.701512583857955,0.026734,47.5,0.056680
0.001641,2.893826007843018,0.028527,50.16890889609307,0.026932,47.5,0.057099
0.001653,2.893826007843018,0.028740,51.08208092373422,0.027130,47.5,0.057523
0.001665,2.893826007843018,0.028950,50.56884862680025,0.027328,47.5,0.057943
0.001677,2.893826007843018,0.029162,50.84430237622481,0.027526,47.5,0.058366
0.001689,2.893826007843018,0.029375,50.986670649958505,0.027724,47.5,0.058788
0.001701,2.893826007843018,0.029583,50.0277881611135,0.027922,47.5,0.059207
0.001713,2.893826007843018,0.029792,50.11973059550332,0.028120,47.5,0.059626
0.001725,2.893826007843018,0.030003,50.48608510478453,0.028318,47.5,0.060046
0.001737,2.893826007843018,0.030214,50.715894226222225,0.028516,47.5,0.060468
0.001749,2.893826007843018,0.030423,50.19013135693512,0.028714,47.5,0.060887
0.001761,2.893826007843018,0.030636,51.02860338757412,0.028912,47.5,0.061310
0.001773,2.893826007843018,0.030846,50.39135399740487,0.029110,47.5,0.061730
0.001785,2.893826007843018,0.031058,50.87768050586037,0.029308,47.5,0.062152
0.001797,2.893826007843018,0.031270,50.71525616826022,0.029506,47.5,0.062573
0.001809,2.893826007843018,0.031480,50.44314933780621,0.029704,47.5,0.062994
0.001822,2.893826007843018,0.031690,50.52977877345047,0.029902,47.5,0.063414
0.001834,2.893826007843018,0.031901,50.50988715787609,0.030100,47.5,0.063835
0.001846,2.893826007843018,0.032114,51.05728208670541,0.030298,47.5,0.064257
0.001858,2.893826007843018,0.032324,50.51050566046896,0.030496,47.5,0.064678
0.001870,2.893826007843018,0.032535,50.57600131069575,0.030694,47.5,0.065099
0.001882,2.893826007843018,0.032744,50.23121623480904,0.030892,47.5,0.065518
0.001894,2.893826007843018,0.032956,50.76646021315823,0.031090,47.5,0.065940
0.001906,2.893826007843018,0.033165,50.31268530813895,0.031288,47.5,0.066359
0.001917,2.893826007843018,0.033366,50.74863775759706,0.031475,47.5,0.066758
0.000005,2.893826007843018,0.000083,50.92844743721556,0.000078,47.5,0.000166
0.000005,2.893826007843018,0.000097,52.377579702466285,0.000088,47.5,0.000190
0.000005,2.893826007843018,0.000098,52.48024433861468,0.000088,47.5,0.000191
